Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
36,Exit short,2025-10-06 11:04,TP,25197.25,1,50405,9.26,0.02,9.88,0.02,-28.62,-0.06,-340.38,-3.40
36,Entry short,2025-10-06 10:51,DCA S [C],25202.5,1,50405,9.26,0.02,9.88,0.02,-28.62,-0.06,-340.38,-3.40
37,Exit short,2025-10-06 11:04,TP,25197.25,1,50418,22.26,0.04,22.88,0.05,-15.62,-0.03,-317.5,-3.17
37,Entry short,2025-10-06 10:52,DCA S [C],25209,1,50418,22.26,0.04,22.88,0.05,-15.62,-0.03,-317.5,-3.17
38,Exit short,2025-10-06 11:04,TP,25197.25,1,50420.5,24.76,0.05,25.38,0.05,-9.12,-0.02,-292.12,-2.92
38,Entry short,2025-10-06 10:58,DCA S [C],25210.25,1,50420.5,24.76,0.05,25.38,0.05,-9.12,-0.02,-292.12,-2.92
39,Exit long,2025-10-06 12:20,TP,25199.75,1,50377.5,20.76,0.04,24.88,0.05,-11.62,-0.02,-271.98,-2.72
39,Entry long,2025-10-06 12:11,DCA L [C],25188.75,1,50377.5,20.76,0.04,24.88,0.05,-11.62,-0.02,-271.98,-2.72
40,Exit long,2025-10-06 12:20,TP,25199.75,1,50373,25.26,0.05,29.38,0.06,-2.62,-0.01,-246.1,-2.46
40,Entry long,2025-10-06 12:16,DCA L [C],25186.5,1,50373,25.26,0.05,29.38,0.06,-2.62,-0.01,-246.1,-2.46
41,Exit short,2025-10-06 12:44,TP,25208.25,1,50427,9.26,0.02,9.88,0.02,-37.62,-0.07,-237.46,-2.37
41,Entry short,2025-10-06 12:23,DCA S [C],25213.5,1,50427,9.26,0.02,9.88,0.02,-37.62,-0.07,-237.46,-2.37
42,Exit short,2025-10-06 12:44,TP,25208.25,1,50446.5,28.76,0.06,29.38,0.06,-18.12,-0.04,-208.08,-2.08
42,Entry short,2025-10-06 12:24,DCA S [C],25223.25,1,50446.5,28.76,0.06,29.38,0.06,-18.12,-0.04,-208.08,-2.08
43,Exit short,2025-10-06 13:10,TP,25221.25,1,50464,20.26,0.04,20.88,0.04,-8.62,-0.02,-188.44,-1.88
43,Entry short,2025-10-06 13:04,DCA S [C],25232,1,50464,20.26,0.04,20.88,0.04,-8.62,-0.02,-188.44,-1.88
44,Exit short,2025-10-06 13:10,TP,25221.25,1,50461,17.26,0.03,17.88,0.04,-9.62,-0.02,-170.56,-1.71
44,Entry short,2025-10-06 13:05,DCA S [C],25230.5,1,50461,17.26,0.03,17.88,0.04,-9.62,-0.02,-170.56,-1.71
45,Exit short,2025-10-06 13:40,TP,25232.75,1,50478,11.26,0.02,11.88,0.02,-28.62,-0.06,-159.92,-1.60
45,Entry short,2025-10-06 13:29,DCA S [C],25239,1,50478,11.26,0.02,11.88,0.02,-28.62,-0.06,-159.92,-1.60
46,Exit short,2025-10-06 13:40,TP,25232.75,1,50493.5,26.76,0.05,27.38,0.05,-13.12,-0.03,-132.54,-1.33
46,Entry short,2025-10-06 13:32,DCA S [C],25246.75,1,50493.5,26.76,0.05,27.38,0.05,-13.12,-0.03,-132.54,-1.33
47,Exit long,2025-10-06 14:48,$ STOP,25190.25,1,50470.5,-91.24,-0.18,6.38,0.01,-92.12,-0.18,-225.64,-2.26
47,Entry long,2025-10-06 14:06,DCA L [C],25235.25,1,50470.5,-91.24,-0.18,6.38,0.01,-92.12,-0.18,-225.64,-2.26
48,Exit long,2025-10-06 14:48,$ STOP,25190.25,1,50453,-73.74,-0.15,5.88,0.01,-74.62,-0.15,-298.76,-2.99
48,Entry long,2025-10-06 14:21,DCA L [C],25226.5,1,50453,-73.74,-0.15,5.88,0.01,-74.62,-0.15,-298.76,-2.99
49,Exit long,2025-10-06 14:48,$ STOP,25190.25,1,50436.5,-57.24,-0.11,21.38,0.04,-58.12,-0.12,-355.38,-3.55
49,Entry long,2025-10-06 14:31,DCA L [C],25218.25,1,50436.5,-57.24,-0.11,21.38,0.04,-58.12,-0.12,-355.38,-3.55
50,Exit long,2025-10-06 14:48,$ STOP,25190.25,1,50426.5,-47.24,-0.09,2.88,0.01,-48.12,-0.10,-402,-4.02
50,Entry long,2025-10-06 14:43,DCA L [C],25213.25,1,50426.5,-47.24,-0.09,2.88,0.01,-48.12,-0.10,-402,-4.02
51,Exit long,2025-10-07 00:25,TP,25180.25,1,50340.5,18.76,0.04,19.38,0.04,-2.62,-0.01,-383.24,-3.83
51,Entry long,2025-10-07 00:06,DCA L [C],25170.25,1,50340.5,18.76,0.04,19.38,0.04,-2.62,-0.01,-383.24,-3.83
52,Exit long,2025-10-07 03:26,$ STOP,25136.5,1,50347.5,-75.74,-0.15,7.88,0.02,-75.62,-0.15,-463.32,-4.63
52,Entry long,2025-10-07 01:01,DCA L [C],25173.75,1,50347.5,-75.74,-0.15,7.88,0.02,-75.62,-0.15,-463.32,-4.63
53,Exit long,2025-10-07 03:26,$ STOP,25136.5,1,50337.5,-65.74,-0.13,1.88,0.00,-65.62,-0.13,-528.44,-5.28
53,Entry long,2025-10-07 01:15,DCA L [C],25168.75,1,50337.5,-65.74,-0.13,1.88,0.00,-65.62,-0.13,-528.44,-5.28
54,Exit long,2025-10-07 03:26,$ STOP,25136.5,1,50325.5,-53.74,-0.11,5.88,0.01,-53.62,-0.11,-581.56,-5.82
54,Entry long,2025-10-07 01:21,DCA L [C],25162.75,1,50325.5,-53.74,-0.11,5.88,0.01,-53.62,-0.11,-581.56,-5.82
55,Exit long,2025-10-07 03:26,$ STOP,25136.5,1,50296.5,-24.74,-0.05,32.88,0.07,-24.62,-0.05,-605.68,-6.06
55,Entry long,2025-10-07 02:05,DCA L [C],25148.25,1,50296.5,-24.74,-0.05,32.88,0.07,-24.62,-0.05,-605.68,-6.06
56,Exit long,2025-10-07 03:26,$ STOP,25136.5,1,50277,-5.24,-0.01,52.38,0.10,-5.12,-0.01,-610.3,-6.10
56,Entry long,2025-10-07 02:21,DCA L [C],25138.5,1,50277,-5.24,-0.01,52.38,0.10,-5.12,-0.01,-610.3,-6.10
57,Exit long,2025-10-07 03:26,$ STOP,25136.5,1,50303.5,-31.74,-0.06,13.38,0.03,-31.12,-0.06,-641.42,-6.41
57,Entry long,2025-10-07 03:06,DCA L [C],25151.75,1,50303.5,-31.74,-0.06,13.38,0.03,-31.12,-0.06,-641.42,-6.41
58,Exit long,2025-10-07 03:26,$ STOP,25136.5,1,50288.5,-16.74,-0.03,19.88,0.04,-16.12,-0.03,-657.54,-6.58
58,Entry long,2025-10-07 03:12,DCA L [C],25144.25,1,50288.5,-16.74,-0.03,19.88,0.04,-16.12,-0.03,-657.54,-6.58
59,Exit long,2025-10-07 03:26,$ STOP,25136.5,1,50284,-12.24,-0.02,0,0.00,-11.62,-0.02,-669.16,-6.69
59,Entry long,2025-10-07 03:25,DCA L [C],25142,1,50284,-12.24,-0.02,0,0.00,-11.62,-0.02,-669.16,-6.69
60,Exit long,2025-10-07 03:38,TP,25145.75,1,50276,14.26,0.03,14.88,0.03,-20.62,-0.04,-655.52,-6.56
60,Entry long,2025-10-07 03:29,DCA L [C],25138,1,50276,14.26,0.03,14.88,0.03,-20.62,-0.04,-655.52,-6.56
61,Exit long,2025-10-07 03:38,TP,25145.75,1,50266.5,23.76,0.05,24.38,0.05,-11.12,-0.02,-631.14,-6.31
61,Entry long,2025-10-07 03:33,DCA L [C],25133.25,1,50266.5,23.76,0.05,24.38,0.05,-11.12,-0.02,-631.14,-6.31
62,Exit short,2025-10-07 05:33,$ STOP,25193.5,1,50311,-77.24,-0.15,0.38,0.00,-79.12,-0.16,-710.86,-7.11
62,Entry short,2025-10-07 03:46,DCA S [C],25155.5,1,50311,-77.24,-0.15,0.38,0.00,-79.12,-0.16,-710.86,-7.11
63,Exit short,2025-10-07 05:33,$ STOP,25193.5,1,50313,-75.24,-0.15,2.38,0.00,-77.12,-0.15,-785.48,-7.85
63,Entry short,2025-10-07 03:47,DCA S [C],25156.5,1,50313,-75.24,-0.15,2.38,0.00,-77.12,-0.15,-785.48,-7.85
64,Exit short,2025-10-07 05:33,$ STOP,25193.5,1,50333.5,-54.74,-0.11,0,0.00,-56.62,-0.11,-839.6,-8.40
64,Entry short,2025-10-07 03:53,DCA S [C],25166.75,1,50333.5,-54.74,-0.11,0,0.00,-56.62,-0.11,-839.6,-8.40
65,Exit short,2025-10-07 05:33,$ STOP,25193.5,1,50344.5,-43.74,-0.09,6.88,0.01,-45.62,-0.09,-882.72,-8.83
65,Entry short,2025-10-07 03:59,DCA S [C],25172.25,1,50344.5,-43.74,-0.09,6.88,0.01,-45.62,-0.09,-882.72,-8.83
66,Exit short,2025-10-07 05:33,$ STOP,25193.5,1,50377.5,-10.74,-0.02,0.88,0.00,-12.62,-0.03,-892.84,-8.93
66,Entry short,2025-10-07 05:31,DCA S [C],25188.75,1,50377.5,-10.74,-0.02,0.88,0.00,-12.62,-0.03,-892.84,-8.93
67,Exit short,2025-10-07 05:42,TP,25184,1,50388,18.76,0.04,19.38,0.04,-4.12,-0.01,-874.08,-8.74
67,Entry short,2025-10-07 05:39,DCA S [C],25194,1,50388,18.76,0.04,19.38,0.04,-4.12,-0.01,-874.08,-8.74
68,Exit long,2025-10-07 06:32,TP,25188.5,1,50363,12.76,0.03,13.38,0.03,-23.62,-0.05,-862.56,-8.63
68,Entry long,2025-10-07 05:49,DCA L [C],25181.5,1,50363,12.76,0.03,13.38,0.03,-23.62,-0.05,-862.56,-8.63
69,Exit long,2025-10-07 06:32,TP,25188.5,1,50356.5,19.26,0.04,19.88,0.04,-17.12,-0.03,-842.68,-8.43
69,Entry long,2025-10-07 05:59,DCA L [C],25178.25,1,50356.5,19.26,0.04,19.88,0.04,-17.12,-0.03,-842.68,-8.43
70,Exit long,2025-10-07 06:32,TP,25188.5,1,50350.5,25.26,0.05,25.88,0.05,-11.12,-0.02,-816.8,-8.17
70,Entry long,2025-10-07 06:06,DCA L [C],25175.25,1,50350.5,25.26,0.05,25.88,0.05,-11.12,-0.02,-816.8,-8.17
71,Exit short,2025-10-07 07:33,$ STOP,25219,1,50370.5,-68.74,-0.14,10.88,0.02,-68.62,-0.14,-888.02,-8.88
71,Entry short,2025-10-07 06:35,DCA S [C],25185.25,1,50370.5,-68.74,-0.14,10.88,0.02,-68.62,-0.14,-888.02,-8.88
72,Exit short,2025-10-07 07:33,$ STOP,25219,1,50375.5,-63.74,-0.13,15.88,0.03,-63.62,-0.13,-951.14,-9.51
72,Entry short,2025-10-07 06:42,DCA S [C],25187.75,1,50375.5,-63.74,-0.13,15.88,0.03,-63.62,-0.13,-951.14,-9.51
73,Exit short,2025-10-07 07:33,$ STOP,25219,1,50375.5,-63.74,-0.13,0,0.00,-63.62,-0.13,-1014.26,-10.14
73,Entry short,2025-10-07 06:51,DCA S [C],25187.75,1,50375.5,-63.74,-0.13,0,0.00,-63.62,-0.13,-1014.26,-10.14
74,Exit short,2025-10-07 07:33,$ STOP,25219,1,50404.5,-34.74,-0.07,11.88,0.02,-34.62,-0.07,-1048.38,-10.48
74,Entry short,2025-10-07 06:57,DCA S [C],25202.25,1,50404.5,-34.74,-0.07,11.88,0.02,-34.62,-0.07,-1048.38,-10.48
75,Exit short,2025-10-07 07:33,$ STOP,25219,1,50425,-14.24,-0.03,5.38,0.01,-14.12,-0.03,-1062,-10.62
75,Entry short,2025-10-07 07:30,DCA S [C],25212.5,1,50425,-14.24,-0.03,5.38,0.01,-14.12,-0.03,-1062,-10.62
76,Exit short,2025-10-07 08:02,$ STOP,25261.75,1,50438.5,-86.24,-0.17,1.88,0.00,-85.62,-0.17,-1149.48,-11.49
76,Entry short,2025-10-07 07:36,DCA S [C],25219.25,1,50438.5,-86.24,-0.17,1.88,0.00,-85.62,-0.17,-1149.48,-11.49
77,Exit short,2025-10-07 08:02,$ STOP,25261.75,1,50440,-84.74,-0.17,3.38,0.01,-84.12,-0.17,-1233.6,-12.34
77,Entry short,2025-10-07 07:38,DCA S [C],25220,1,50440,-84.74,-0.17,3.38,0.01,-84.12,-0.17,-1233.6,-12.34
78,Exit short,2025-10-07 08:02,$ STOP,25261.75,1,50454.5,-70.24,-0.14,4.38,0.01,-69.62,-0.14,-1303.22,-13.03
78,Entry short,2025-10-07 07:46,DCA S [C],25227.25,1,50454.5,-70.24,-0.14,4.38,0.01,-69.62,-0.14,-1303.22,-13.03
79,Exit long,2025-10-07 08:32,TP,25241,1,50462,18.76,0.04,19.38,0.04,-23.12,-0.05,-1284.46,-12.84
79,Entry long,2025-10-07 08:31,DCA L [C],25231,1,50462,18.76,0.04,19.38,0.04,-23.12,-0.05,-1284.46,-12.84
80,Exit short,2025-10-07 08:57,TP,25250.25,1,50520.5,18.76,0.04,19.38,0.04,-10.12,-0.02,-1265.7,-12.66
80,Entry short,2025-10-07 08:56,DCA S [C],25260.25,1,50520.5,18.76,0.04,19.38,0.04,-10.12,-0.02,-1265.7,-12.66
81,Exit long,2025-10-07 09:06,TP,25236.75,1,50453.5,18.76,0.04,19.38,0.04,-25.12,-0.05,-1246.94,-12.47
81,Entry long,2025-10-07 09:04,DCA L [C],25226.75,1,50453.5,18.76,0.04,19.38,0.04,-25.12,-0.05,-1246.94,-12.47
82,Exit long,2025-10-07 09:32,TP,25221.75,1,50423.5,18.76,0.04,19.38,0.04,-8.62,-0.02,-1228.18,-12.28
82,Entry long,2025-10-07 09:28,DCA L [C],25211.75,1,50423.5,18.76,0.04,19.38,0.04,-8.62,-0.02,-1228.18,-12.28
83,Exit long,2025-10-07 09:41,TP,25211,1,50410,10.76,0.02,11.38,0.02,-38.12,-0.08,-1218.04,-12.18
83,Entry long,2025-10-07 09:36,DCA L [C],25205,1,50410,10.76,0.02,11.38,0.02,-38.12,-0.08,-1218.04,-12.18
84,Exit long,2025-10-07 09:41,TP,25211,1,50393.5,27.26,0.05,27.88,0.06,-21.62,-0.04,-1190.16,-11.90
84,Entry long,2025-10-07 09:37,DCA L [C],25196.75,1,50393.5,27.26,0.05,27.88,0.06,-21.62,-0.04,-1190.16,-11.90
85,Exit long,2025-10-07 10:06,$ STOP,25115.75,1,50385,-154.74,-0.31,4.38,0.01,-158.12,-0.31,-1345.52,-13.46
85,Entry long,2025-10-07 09:51,DCA L [C],25192.5,1,50385,-154.74,-0.31,4.38,0.01,-158.12,-0.31,-1345.52,-13.46
86,Exit long,2025-10-07 10:06,$ STOP,25115.75,1,50363.5,-133.24,-0.26,18.88,0.04,-136.62,-0.27,-1478.14,-14.78
86,Entry long,2025-10-07 09:57,DCA L [C],25181.75,1,50363.5,-133.24,-0.26,18.88,0.04,-136.62,-0.27,-1478.14,-14.78
87,Exit short,2025-10-07 11:48,TP,25051,1,50112.5,9.26,0.02,9.88,0.02,-72.12,-0.14,-1469.5,-14.69
87,Entry short,2025-10-07 11:33,DCA S [C],25056.25,1,50112.5,9.26,0.02,9.88,0.02,-72.12,-0.14,-1469.5,-14.69
88,Exit short,2025-10-07 11:48,TP,25051,1,50132,28.76,0.06,29.38,0.06,-52.62,-0.10,-1440.12,-14.40
88,Entry short,2025-10-07 11:34,DCA S [C],25066,1,50132,28.76,0.06,29.38,0.06,-52.62,-0.10,-1440.12,-14.40
89,Exit long,2025-10-07 12:03,TP,25038,1,50072.5,2.26,0.00,18.38,0.04,-49.62,-0.10,-1438.48,-14.38
89,Entry long,2025-10-07 11:56,DCA L [C],25036.25,1,50072.5,2.26,0.00,18.38,0.04,-49.62,-0.10,-1438.48,-14.38
90,Exit long,2025-10-07 12:03,TP,25038,1,50037.5,37.26,0.07,53.38,0.11,-9.12,-0.02,-1400.6,-14.01
90,Entry long,2025-10-07 11:59,DCA L [C],25018.75,1,50037.5,37.26,0.07,53.38,0.11,-9.12,-0.02,-1400.6,-14.01
91,Exit short,2025-10-07 12:26,TP,25042,1,50115,29.76,0.06,42.88,0.09,-5.62,-0.01,-1370.84,-13.71
91,Entry short,2025-10-07 12:25,DCA S [C],25057.5,1,50115,29.76,0.06,42.88,0.09,-5.62,-0.01,-1370.84,-13.71
92,Exit long,2025-10-07 13:11,TP,25028.5,1,50053,2.76,0.01,10.88,0.02,-71.62,-0.14,-1369.32,-13.69
92,Entry long,2025-10-07 12:51,DCA L [C],25026.5,1,50053,2.76,0.01,10.88,0.02,-71.62,-0.14,-1369.32,-13.69
93,Exit long,2025-10-07 13:11,TP,25028.5,1,50048,7.76,0.02,8.88,0.02,-66.62,-0.13,-1360.94,-13.61
93,Entry long,2025-10-07 12:52,DCA L [C],25024,1,50048,7.76,0.02,8.88,0.02,-66.62,-0.13,-1360.94,-13.61
94,Exit long,2025-10-07 13:11,TP,25028.5,1,50009.5,46.26,0.09,46.88,0.09,-28.12,-0.06,-1314.06,-13.14
94,Entry long,2025-10-07 13:01,DCA L [C],25004.75,1,50009.5,46.26,0.09,46.88,0.09,-28.12,-0.06,-1314.06,-13.14
95,Exit short,2025-10-07 14:05,TP,25040.25,1,50100.5,18.76,0.04,19.38,0.04,-16.62,-0.03,-1295.3,-12.95
